#HFT Mesh-HWP v2 (GP - 2019/06/22) - HFSS simulations 					
#Freq [GHz]	Tx_Cap	Ax_Cap	Tx_Ind	Ax_Ind	DPh [deg]	Cx_Pol-45d	

166	0.91876	0.00504	0.65875	0.10122	140.42758	-10.28176
167	0.9268	0.00512	0.70006	0.09845	143.11244	-10.74218
168	0.93443	0.00519	0.73792	0.09566	145.69927	-11.2435
169	0.94165	0.00526	0.77234	0.09287	148.18805	-11.7857
170	0.94846	0.00534	0.80332	0.09007	150.5788	-12.3688
171	0.95486	0.00541	0.83086	0.08726	152.8715	-12.99278
172	0.96085	0.00547	0.85496	0.08445	155.06617	-13.65765
173	0.96643	0.00554	0.87561	0.08163	157.1628	-14.36341
174	0.9716	0.00561	0.89282	0.0788	159.16139	-15.11007
175	0.97637	0.00567	0.90659	0.07597	161.06194	-15.89761
176	0.98072	0.00573	0.91691	0.07313	162.86445	-16.72604
177	0.98466	0.00579	0.92379	0.07028	164.56892	-17.59535
178	0.9882	0.00585	0.92723	0.06743	166.17535	-18.50556
179	0.99058	0.0059	0.93271	0.06514	167.68013	-19.48061
180	0.99231	0.00595	0.93658	0.06303	169.08567	-20.50452
181	0.99339	0.00599	0.93884	0.0611	170.39195	-21.57731
182	0.99381	0.00604	0.93947	0.05935	171.599		-22.69897
183	0.99357	0.00607	0.9385	0.05779	172.7068	-23.86951
184	0.99298	0.00611	0.93984	0.0563	173.83538	-25.40797
185	0.99183	0.00614	0.94088	0.05497	174.90471	-27.10165
186	0.99013	0.00617	0.94162	0.05378	175.91481	-28.95055
187	0.98787	0.00619	0.94205	0.05274	176.86568	-30.95468
188	0.98506	0.00621	0.94218	0.05185	177.7573	-33.11403
189	0.98276	0.00624	0.94304	0.05088	178.68928	-33.98482
190	0.98027	0.00626	0.94394	0.04998	179.59521	-34.52957
191	0.97757	0.00628	0.94488	0.04916	180.4751	-34.74828
192	0.97468	0.0063	0.94585	0.04841	181.32894	-34.64096
193	0.97159	0.00632	0.94687	0.04772	182.15674	-34.20759
