# nu   h1   h2   beta   z1   z2
8.900000000000000000e+01 -1.634355590988989526e-02 -4.190814636591344566e-02 -1.453878000000000270e+01 1.000000000000000021e-02 1.000000000000000021e-02
9.000000000000000000e+01 -1.146573149940832703e-02 -3.722796052232590913e-02 -1.144196999999999775e+01 1.000000000000000021e-02 1.000000000000000021e-02
9.100000000000000000e+01 -7.608948045177088559e-03 -3.313392861265418432e-02 -8.548259999999999081e+00 1.000000000000000021e-02 1.000000000000000021e-02
9.200000000000000000e+01 -4.771383048095767521e-03 -2.961347907135480906e-02 -5.857630000000000337e+00 1.000000000000000021e-02 1.000000000000000021e-02
9.300000000000000000e+01 -2.944334552979932518e-03 -2.666038814810378632e-02 -3.370090000000004693e+00 1.000000000000000021e-02 1.000000000000000021e-02
9.400000000000000000e+01 -2.112230759390487655e-03 -2.427462880173092419e-02 -1.085630000000008977e+00 1.000000000000000021e-02 1.000000000000000021e-02
9.500000000000000000e+01 -2.282605143119731395e-03 -2.244693238678852065e-02 9.957300000000088858e-01 1.000000000000000021e-02 1.000000000000000021e-02
9.600000000000000000e+01 -3.455971870785834454e-03 -2.117417279681466091e-02 2.874009999999998399e+00 1.000000000000000021e-02 1.000000000000000021e-02
9.700000000000000000e+01 -5.630853254185108625e-03 -2.045929130025436748e-02 4.549200000000013233e+00 1.000000000000000021e-02 1.000000000000000021e-02
9.800000000000000000e+01 -8.813841904559249762e-03 -2.029596305823055946e-02 6.021299999999996544e+00 1.000000000000000021e-02 1.000000000000000021e-02
9.900000000000000000e+01 -1.301469109211150776e-02 -2.068901772725939558e-02 7.290310000000005175e+00 1.000000000000000021e-02 1.000000000000000021e-02
1.000000000000000000e+02 -1.470309043415751749e-02 -2.007653360071015580e-02 8.819299999999998363e+00 1.000000000000000021e-02 1.000000000000000021e-02
1.010000000000000000e+02 -1.622156966113552645e-02 -1.950012748598484169e-02 1.029956000000001382e+01 1.000000000000000021e-02 1.000000000000000021e-02
1.020000000000000000e+02 -1.756934086929062833e-02 -1.895463917309103685e-02 1.173108999999999469e+01 1.000000000000000021e-02 1.000000000000000021e-02
1.030000000000000000e+02 -1.875079617866692860e-02 -1.844511106102675324e-02 1.311388999999999783e+01 1.000000000000000021e-02 1.000000000000000021e-02
1.040000000000000000e+02 -1.976533421838211346e-02 -1.797148717565233422e-02 1.444795999999999481e+01 1.000000000000000021e-02 1.000000000000000021e-02
1.050000000000000000e+02 -1.918401318086171425e-02 -1.795112137938870145e-02 1.564500000000001023e+01 1.000000000000000021e-02 1.000000000000000021e-02
1.060000000000000000e+02 -1.795621278885939365e-02 -1.810387514768141415e-02 1.676386999999999716e+01 1.000000000000000021e-02 1.000000000000000021e-02
1.070000000000000000e+02 -1.608435320907719568e-02 -1.842982930408887388e-02 1.780458999999999037e+01 1.000000000000000021e-02 1.000000000000000021e-02
1.080000000000000000e+02 -1.357716976947453968e-02 -1.893425296772288657e-02 1.876714000000001192e+01 1.000000000000000021e-02 1.000000000000000021e-02
1.090000000000000000e+02 -1.043443875607719118e-02 -1.960722156882455103e-02 1.965153000000000816e+01 1.000000000000000021e-02 1.000000000000000021e-02
1.100000000000000000e+02 -9.091326105175379091e-03 -1.984184949570511058e-02 2.041639000000000692e+01 1.000000000000000021e-02 1.000000000000000021e-02
