#MFT Mesh-HWP v2 (GP - 2019/06/22) - HFSS simulations						
#Freq [GHz]	Tx_Cap	Ax_Cap	Tx_Ind	Ax_Ind	DPh [deg]	Cx_Pol-45d

89	0.96758	0.00374	0.91794	0.05558	165.46122	-18.16654
90	0.9772	0.00383	0.92693	0.05186	168.55803	-24.39371
91	0.98484	0.00391	0.93483	0.04849	171.45174	-29.36815
92	0.99048	0.00398	0.94165	0.04547	174.14237	-33.08986
93	0.99412	0.00404	0.94739	0.0428	176.62991	-35.55883
94	0.99578	0.0041	0.95204	0.04048	178.91437	-36.77508
95	0.99544	0.00415	0.95561	0.03851	180.99573	-36.7386
96	0.9931	0.00419	0.9581	0.0369	182.87401	-35.44938
97	0.98877	0.00423	0.9595	0.03563	184.5492	-32.90743
98	0.98245	0.00426	0.95982	0.03472	186.0213	-29.11276
99	0.97414	0.00428	0.95905	0.03416	187.29031	-24.06535
100	0.97081	0.00431	0.96025	0.03315	188.8193	-22.34175
101	0.96782	0.00435	0.96138	0.03222	190.29956	-20.89093
102	0.96517	0.00439	0.96245	0.03138	191.73109	-19.7129
103	0.96285	0.00443	0.96345	0.03062	193.11389	-18.80764
104	0.96086	0.00447	0.96438	0.02994	194.44796	-18.17517
105	0.962	0.00453	0.96442	0.02928	195.645	        -17.38126
106	0.96441	0.00459	0.96412	0.02868	196.76387	-16.7154
107	0.96809	0.00466	0.96348	0.02815	197.80459	-16.17758
108	0.97303	0.00474	0.96249	0.02767	198.76714	-15.7678
109	0.97924	0.00482	0.96117	0.02726	199.65153	-15.48606
110	0.9819	0.00489	0.96071	0.02689	200.41639	-15.12629
111	0.98422	0.00495	0.96033	0.02657	201.0893	-14.82586
112	0.9862	0.00502	0.96	0.02631	201.67026	-14.58479
113	0.98784	0.00509	0.95975	0.02611	202.15927	-14.40307
114	0.98914	0.00516	0.95955	0.02596	202.55632	-14.28069
115	0.98668	0.00521	0.95943	0.02568	203.05854	-14.09462
116	0.98275	0.00525	0.95937	0.0254	203.5345	-13.92688
117	0.97734	0.00529	0.95938	0.02512	203.98422	-13.77747
118	0.97045	0.00532	0.95946	0.02483	204.40769	-13.6464
119	0.96209	0.00535	0.9596	0.02454	204.80492	-13.53366
120	0.95668	0.00539	0.9591	0.02418	205.30838	-13.37653
121	0.95127	0.00543	0.95843	0.02379	205.82975	-13.21681
122	0.94587	0.00546	0.95758	0.02338	206.36904	-13.05452
123	0.94047	0.0055	0.95657	0.02293	206.92624	-12.88965
124	0.93506	0.00554	0.95538	0.02246	207.50136	-12.7222
125	0.93405	0.00561	0.95429	0.02206	207.9883	-12.57599
126	0.9345	0.00568	0.95312	0.02165	208.45781	-12.43515
127	0.93642	0.00576	0.95186	0.02125	208.90986	-12.29967
128	0.9398	0.00585	0.95052	0.02086	209.34447	-12.16955
129	0.94464	0.00594	0.9491	0.02047	209.76163	-12.04479
130	0.94927	0.00604	0.94856	0.02014	210.02949	-11.95705
131	0.9548	0.00615	0.94826	0.01985	210.23596	-11.88523
132	0.96123	0.00626	0.9482	0.01958	210.38104	-11.82933
133	0.96856	0.00637	0.94838	0.01934	210.46471	-11.78934
134	0.9768	0.00649	0.9488	0.01912	210.487		-11.76526
135	0.9813	0.0066	0.94965	0.01891	210.49897	-11.74927
136	0.98515	0.00669	0.9508	0.01871	210.46658	-11.74657
